Country,Region,Rank,HappinessScore,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
Norway,Western Europe,1,7.537,7.578744888,11.08178902,0.950127661,71.086586,0.953016818,0.210104033,0.249711379,0.849099994,0.202913806,0.717159748
Denmark,Western Europe,2,7.522,7.593702316,10.74898911,0.952100098,71.66249847,0.955416322,0.145387098,0.181147561,0.823667407,0.205775306,0.572353303
Iceland,Western Europe,3,7.504,7.476213932,10.76040936,0.966752827,72.75598145,0.938783288,0.235478714,0.726845384,0.895254552,0.148160011,0.365041941
Switzerland,Western Europe,4,7.494,7.473593235,10.95554829,0.949661374,73.17375946,0.924996913,0.167874664,0.316183478,0.773997068,0.195871487,0.819706738
Finland,Western Europe,5,7.469,7.788251877,10.61233807,0.963826418,71.69696045,0.962198973,-0.012173655,0.192412779,0.787137091,0.176065788,0.59753859
Netherlands,Western Europe,6,7.377,7.458965302,10.79181385,0.936501324,71.61999512,0.920319736,0.237440467,0.363133639,0.852184892,0.184519842,0.669553638
New Zealand,North America and ANZ,7,7.314,7.32718277,10.47576237,0.95492065,71.61430359,0.942279458,0.28505671,0.221887484,0.817431271,0.171716571,0.609015465
Australia,North America and ANZ,8,7.284,7.25703764,10.71182728,0.949957848,72.78334045,0.910550177,0.301693261,0.411346525,0.780078888,0.225360975,0.45340696
Sweden,Western Europe,9,7.284,7.286804676,10.77040577,0.914016783,73.00654602,0.934582114,0.155486837,0.239366919,0.81354779,0.175066829,0.559461951
Israel,Middle East and North Africa,10,7.213,7.331036091,10.40613174,0.916440845,71.86508179,0.768076301,0.137158513,0.792652249,0.673591316,0.276443154,0.389368147
Costa Rica,Latin America and Caribbean,11,7.079,7.22518158,9.67063427,0.92169714,69.86730194,0.93561846,-0.078268528,0.742350757,0.874395847,0.275440067,0.407448441
Austria,Western Europe,12,7.006,7.293727875,10.71622562,0.906217814,72.35971069,0.890030563,0.124996737,0.518303812,0.747568727,0.18026872,0.43590793
United States,North America and ANZ,13,6.993,6.9917593,10.89986897,0.921002865,69.7709198,0.868496716,0.181657359,0.681191266,0.826555312,0.268269062,0.386535019
Ireland,Western Europe,14,6.977,7.060155392,11.06648731,0.943481982,71.70978546,0.905341148,0.206801742,0.33708474,0.833388925,0.212784126,0.603799641
Germany,Western Europe,15,6.951,7.074324608,10.71118355,0.892166078,71.07910156,0.840727866,0.135307536,0.414021194,0.736565709,0.196434811,0.622935653
Belgium,Western Europe,16,6.891,6.928347588,10.65765381,0.921639085,72.14292908,0.856801987,0.045481469,0.543046057,0.786367595,0.233597696,0.449731916
Luxembourg,Western Europe,17,6.863,7.061380863,11.46523094,0.905435503,72.2013092,0.90282172,0.029771445,0.330173582,0.765816867,0.184467003,0.73892206
United Kingdom,Western Europe,18,6.714,7.103273392,10.58457565,0.937495291,72.05612946,0.812733293,0.281046003,0.418611348,0.758571804,0.20957242,0.440120846
Chile,Latin America and Caribbean,19,6.652,6.320119381,10.03757858,0.879840791,69.60894012,0.790116489,-0.035265177,0.835987508,0.83847481,0.29104209,0.268283308
United Arab Emirates,Middle East and North Africa,20,6.648,7.039419651,11.12180805,0.83552736,68.5815506,0.962016642,0.191113129,,0.795034885,0.207598448,
Brazil,Latin America and Caribbean,21,6.635,6.332929134,9.547693253,0.904694259,65.45373535,0.764792562,-0.187264696,0.794457376,0.715945125,0.307716906,0.16549027
Czech Republic,Central and Eastern Europe,22,6.609,6.789567947,10.39345932,0.900968969,71.45102692,0.8317855,-0.184590086,0.866524994,0.738743961,0.226649791,0.343870819
Argentina,Latin America and Caribbean,23,6.599,6.039330006,9.843519211,0.906699121,67.53870392,0.831966162,-0.186299905,0.841052473,0.809422612,0.291717261,0.305430293
Mexico,Latin America and Caribbean,24,6.578,6.410299301,9.741969109,0.799839377,68.09822845,0.861405134,-0.206639215,0.800893068,0.842642307,0.230990887,0.25695315
Singapore,Southeast Asia,25,6.572,6.378437996,11.31704998,0.897349894,75.81240082,0.926127851,0.120411553,0.161790684,0.800114393,0.179324552,0.92699796
Malta,Western Europe,26,6.527,6.675665855,10.50269985,0.937331796,71.82951355,0.923642933,0.241762459,0.690494537,0.720753372,0.302443117,0.75200516
Guatemala,Latin America and Caribbean,27,6.454,6.325118542,8.918908119,0.826492071,63.38197708,0.914521694,-0.0617286,0.799747884,0.845865786,0.308086157,0.458623856
Uruguay,Latin America and Caribbean,28,6.454,6.336009979,9.917771339,0.91380167,68.38036346,0.897851646,-0.104762152,0.626581967,0.835861266,0.280323356,0.413032115
Panama,Latin America and Caribbean,29,6.452,6.567658901,10.00271416,0.911904812,68.04541016,0.899573505,-0.164080471,0.840777099,0.832688808,0.242319331,0.390996099
France,Western Europe,30,6.442,6.635222435,10.56077385,0.931494594,72.58893585,0.83389014,-0.133584961,0.601486027,0.762097776,0.241983935,0.37479353
Thailand,Southeast Asia,31,6.424,5.938895226,9.688437462,0.877268732,66.41879272,0.922896802,0.202452391,0.883816779,0.81632179,0.231597617,0.605078816
Taiwan Province of China,East Asia,32,6.422,6.359450817,,0.891119123,71.20999908,0.75965476,,0.742780089,0.837277293,0.114123158,0.322822392
Spain,Western Europe,33,6.403,6.230173111,10.44522285,0.903158188,74.49821472,0.755560756,-0.042156253,0.791268766,0.625055611,0.302387655,0.269585967
Colombia,Latin America and Caribbean,34,6.357,6.157341957,9.490860939,0.909249961,64.13578033,0.837554634,-0.165878147,0.87501812,0.836926997,0.299308956,0.221882597
Saudi Arabia,Middle East and North Africa,35,6.344,6.294282436,10.81198788,0.840086281,64.08374023,0.814142168,-0.156905413,,0.774875701,0.305841893,
Trinidad and Tobago,Latin America and Caribbean,36,6.168,6.191859722,10.32386494,0.916029036,61.73831177,0.859140456,-0.014604381,0.911336362,0.846467078,0.248098806,0.272540897
Kuwait,Middle East and North Africa,37,6.105,6.093905449,11.11179256,0.853491306,65.37895966,0.884181619,-0.048504289,,0.692071915,0.307320803,
Slovakia,Central and Eastern Europe,38,6.098,6.365509033,10.31394196,0.913386643,68.77391052,0.714224696,-0.072076842,0.920422673,0.788020432,0.21272248,0.34168008
Bahrain,Middle East and North Africa,39,6.087,6.227320671,10.68671322,0.875747144,66.12399292,0.905858517,0.120759174,,0.813570559,0.289759517,
